,t,true_probs,probs_x_np,cmc_2048,strat_2048,cmc_4096,strat_4096,cmc_10000,strat_10000,run_id
15,1.5,0.22723159193992615,0.24609375,0.240234375,0.24035,0.245361328125,0.24155,0.2495,0.24175,1
16,1.6,0.19750148057937622,0.21337890625,0.21826171875,0.21155,0.210693359375,0.213,0.2205,0.20875,1
17,1.7000000000000002,0.16999302804470062,0.18701171875,0.18408203125,0.17825,0.17041015625,0.1752,0.1819,0.1759,1
18,1.8,0.14464549720287323,0.1533203125,0.14990234375,0.14805,0.160888671875,0.14875,0.1467,0.14945,1
19,1.9000000000000001,0.12141232937574387,0.12451171875,0.1220703125,0.12045,0.1279296875,0.1186,0.1262,0.11885,1
20,2.0,0.10025878250598907,0.0966796875,0.0947265625,0.096,0.10595703125,0.0938,0.0986,0.09335,1
21,2.1,0.08115958422422409,0.07861328125,0.0732421875,0.0754,0.071533203125,0.0783,0.0802,0.07405,1
22,2.2,0.06409665197134018,0.0625,0.05126953125,0.05895,0.053955078125,0.05845,0.0585,0.05795,1
23,2.3000000000000003,0.04905750975012779,0.04931640625,0.044921875,0.04165,0.0390625,0.04205,0.0468,0.04385,1
24,2.4000000000000004,0.03603358939290047,0.037109375,0.02685546875,0.02975,0.031494140625,0.0313,0.0283,0.03065,1
25,2.5,0.02501928061246872,0.02685546875,0.01904296875,0.0191,0.01806640625,0.02055,0.0207,0.0195,1
26,2.6,0.016010869294404984,0.01416015625,0.0126953125,0.0112,0.01025390625,0.0129,0.011,0.01225,1
27,2.7,0.009006007574498653,0.00732421875,0.005859375,0.00535,0.006103515625,0.006,0.0055,0.0067,1
28,2.8000000000000003,0.004003265872597694,0.00244140625,0.0029296875,0.00305,0.002197265625,0.00305,0.0033,0.00245,1
29,2.9000000000000004,0.0010017387103289366,0.0009765625,0.00146484375,0.0014,0.000732421875,0.00105,0.0008,0.00095,1
30,3.0,9.111500958169927e-07,0.0,0.0009765625,0.00055,0.000244140625,0.0004,0.0005,0.00045,1
0,0.0,0.625,0.61962890625,0.6201171875,0.63335,0.6083984375,0.636,0.6227,0.63195,2
1,0.1,0.6058791875839233,0.5986328125,0.61376953125,0.6119,0.5986328125,0.6073,0.6003,0.6103,2
2,0.2,0.5885112285614014,0.58154296875,0.5810546875,0.59095,0.57080078125,0.59555,0.5705,0.5966,2
3,0.30000000000000004,0.5729958415031433,0.56787109375,0.55224609375,0.5739,0.558349609375,0.57385,0.5605,0.57445,2
4,0.4,0.5593670606613159,0.55517578125,0.54052734375,0.5624,0.54248046875,0.5575,0.5452,0.56115,2
